AX,AY,AZ
0.89,-0.06,-0.92
0.71,-0.06,-0.85
0.50,-0.07,-0.82
0.20,-0.07,-0.87
-0.07,-0.08,-0.92
-0.29,-0.10,-0.95
-0.53,-0.09,-0.98
-0.79,-0.11,-0.96
-1.01,-0.11,-0.91
-1.21,-0.15,-0.87
-1.44,-0.16,-0.89
-1.58,-0.17,-0.94
-1.56,-0.18,-0.91
-1.44,-0.20,-0.84
-1.27,-0.21,-0.80
-1.11,-0.22,-0.73
-0.98,-0.21,-0.67
-0.85,-0.20,-0.65
-0.71,-0.18,-0.56
-0.53,-0.17,-0.41
-0.28,-0.14,-0.40
-0.02,-0.11,-0.61
0.22,-0.10,-0.91
0.49,-0.02,-0.97
0.85,-0.05,-0.96
1.11,-0.02,-1.07
1.28,-0.03,-1.21
1.37,-0.02,-1.33
1.48,-0.08,-1.28
1.50,-0.06,-1.23
1.47,-0.05,-1.24
1.44,-0.05,-1.19
1.32,-0.05,-1.16
1.14,-0.02,-1.14
1.04,-0.01,-1.09
0.93,-0.01,-1.00
0.73,0.00,-0.93
0.49,0.01,-0.92
0.25,-0.00,-0.94
0.00,-0.03,-1.01
-0.24,-0.06,-1.02
-0.43,-0.11,-0.95
-0.62,-0.15,-0.90
-0.83,-0.17,-0.90
-1.06,-0.16,-0.92
-1.28,-0.14,-0.96
-1.44,-0.13,-0.98
-1.53,-0.14,-0.96
-1.50,-0.13,-0.98
-1.35,-0.15,-0.93
-1.17,-0.18,-0.87
-1.05,-0.19,-0.77
-0.97,-0.17,-0.68
-0.78,-0.16,-0.54
-0.61,-0.15,-0.43
-0.53,-0.10,-0.51
-0.38,-0.03,-0.72
-0.09,0.02,-0.87
0.27,0.05,-0.93
0.67,0.06,-0.95
1.01,0.04,-1.02
1.24,0.05,-1.14
1.37,0.05,-1.27
1.42,0.02,-1.32
1.47,0.01,-1.27
1.56,0.00,-1.21
1.60,0.01,-1.22
1.57,0.01,-1.22
1.42,0.02,-1.16
1.24,0.04,-1.09
1.17,0.03,-1.00
1.06,0.02,-0.90
0.84,0.04,-0.87
0.63,0.05,-0.86
0.41,0.03,-0.85
0.14,0.01,-0.93
-0.12,-0.02,-0.94
-0.32,-0.07,-0.89
-0.54,-0.10,-0.90
-0.78,-0.11,-0.93
-1.02,-0.13,-0.93
-1.23,-0.13,-0.94
-1.36,-0.12,-0.98
-1.44,-0.13,-0.98
-1.44,-0.15,-0.93
-1.36,-0.17,-0.88
-1.30,-0.18,-0.84
-1.17,-0.19,-0.78
-1.03,-0.19,-0.74
-0.95,-0.17,-0.72
-0.86,-0.14,-0.68
-0.75,-0.10,-0.64
-0.66,-0.04,-0.65
-0.51,0.02,-0.73
-0.24,0.08,-0.83
0.13,0.12,-0.87
0.48,0.12,-0.90
0.76,0.13,-1.00
1.03,0.15,-1.17
1.30,0.14,-1.30
1.47,0.09,-1.32
1.56,0.06,-1.26
1.64,0.06,-1.23
1.65,0.06,-1.27
1.62,0.05,-1.30
1.57,0.03,-1.25
1.49,0.03,-1.16
1.33,0.04,-1.07
1.17,0.06,-1.01
1.04,0.06,-0.96
0.81,0.07,-0.92
0.54,0.08,-0.90
0.34,0.07,-0.90
0.17,0.06,-0.94
-0.04,0.04,-0.95
-0.30,-0.01,-0.95
-0.53,-0.05,-0.97
-0.66,-0.09,-0.97
-0.75,-0.13,-0.93
-0.92,-0.14,-0.92
-1.19,-0.16,-0.95
-1.44,-0.18,-0.95
-1.54,-0.19,-0.90
-1.52,-0.22,-0.88
-1.47,-0.22,-0.85
-1.36,-0.21,-0.79
-1.22,-0.20,-0.70
-1.11,-0.18,-0.61
-0.99,-0.15,-0.58
-0.87,-0.11,-0.58
-0.70,-0.07,-0.58
-0.50,-0.03,-0.63
-0.25,0.03,-0.72
0.17,0.08,-0.84
0.68,0.10,-0.95
1.07,0.10,-1.10
1.33,0.08,-1.22
1.47,0.07,-1.31
1.57,0.07,-1.28
1.62,0.02,-1.27
1.64,0.03,-1.27
1.68,0.02,-1.28
1.66,0.02,-1.23
1.54,0.02,-1.17
1.38,0.03,-1.10
1.23,0.02,-1.04
1.05,0.01,-0.98
0.81,0.01,-0.93
0.54,0.01,-0.88
0.32,-0.00,-0.87
0.11,-0.04,-0.91
-0.19,-0.05,-0.99
-0.51,-0.07,-1.02
-0.78,-0.08,-0.98
-1.00,-0.09,-0.99
-1.20,-0.09,-0.95
-1.42,-0.10,-0.95
-1.58,-0.10,-0.95
-1.60,-0.12,-0.91
-1.45,-0.16,-0.77
-1.25,-0.20,-0.70
-1.12,-0.21,-0.65
-1.04,-0.20,-0.57
-0.93,-0.18,-0.50
-0.75,-0.15,-0.50
-0.54,-0.11,-0.61
-0.38,-0.07,-0.68
-0.30,-0.03,-0.72
-0.09,-0.00,-0.64
0.33,0.02,-0.64
0.67,0.03,-0.84
0.89,0.03,-1.12
1.04,0.02,-1.25
1.15,-0.01,-1.20
1.12,-0.05,-1.14
1.05,-0.07,-1.10
0.96,-0.08,-1.09
0.82,-0.08,-1.09
0.73,-0.07,-1.12
0.74,-0.07,-1.07
0.69,-0.05,-1.08
0.56,-0.03,-1.11
0.48,-0.02,-1.09
0.44,-0.03,-1.06
0.38,-0.03,-1.04
0.30,-0.04,-1.01
0.23,-0.05,-0.97
0.16,-0.06,-0.97
0.12,-0.07,-0.96
0.10,-0.08,-0.97
0.13,-0.10,-0.98
0.16,-0.12,-0.95
0.13,-0.12,-0.93
0.11,-0.12,-0.96
0.14,-0.13,-0.97
0.16,-0.13,-0.95
0.16,-0.13,-0.94
0.15,-0.14,-0.94
0.14,-0.14,-0.91
0.15,-0.16,-0.89
0.13,-0.15,-0.90
0.14,-0.14,-0.93
0.16,-0.13,-0.96
0.16,-0.11,-0.99
0.17,-0.10,-1.00
0.17,-0.09,-0.97
0.16,-0.09,-0.96
0.16,-0.09,-0.96
0.19,-0.09,-0.95
0.19,-0.09,-0.95
0.18,-0.07,-0.98
0.20,-0.07,-0.98
0.23,-0.07,-0.96
0.21,-0.07,-0.99
0.21,-0.07,-1.00
0.19,-0.08,-0.97
0.20,-0.09,-0.96
0.20,-0.09,-0.96
0.18,-0.09,-0.96
0.19,-0.10,-0.93
0.18,-0.10,-0.93
0.19,-0.09,-0.98
0.21,-0.10,-0.98
0.22,-0.11,-0.97
0.19,-0.10,-0.97
0.19,-0.11,-0.98
0.19,-0.12,-0.96
0.16,-0.12,-0.93
0.15,-0.12,-0.95
0.18,-0.12,-0.96
0.15,-0.11,-0.97
0.15,-0.10,-0.97
0.17,-0.11,-0.95
0.17,-0.11,-0.95
0.18,-0.11,-0.96
0.19,-0.11,-0.94
0.17,-0.11,-0.93
0.15,-0.11,-0.95
0.17,-0.11,-0.95
0.15,-0.09,-0.96
0.16,-0.09,-0.96
0.18,-0.09,-0.96
0.16,-0.08,-0.95
0.15,-0.08,-0.95
0.16,-0.09,-0.95
0.17,-0.09,-0.96
0.19,-0.09,-0.97
0.18,-0.09,-0.95
0.17,-0.09,-0.95
0.17,-0.10,-0.95
0.18,-0.10,-0.93
0.18,-0.10,-0.94
0.18,-0.10,-0.93
0.19,-0.10,-0.92
0.17,-0.10,-0.97
0.19,-0.10,-0.98
0.19,-0.09,-0.95
0.18,-0.10,-0.94
0.17,-0.09,-0.96
0.19,-0.09,-0.97
0.20,-0.10,-0.95
0.21,-0.11,-0.94
0.21,-0.11,-0.97
0.21,-0.11,-0.96
0.18,-0.10,-0.95
0.17,-0.10,-0.95
0.17,-0.10,-0.95
0.17,-0.09,-0.96
0.15,-0.09,-0.97
0.16,-0.09,-0.98
0.18,-0.09,-0.97
0.16,-0.09,-0.95
0.14,-0.08,-0.96
0.16,-0.07,-0.97
0.19,-0.07,-0.97
0.18,-0.07,-0.96
0.17,-0.05,-0.94
0.21,-0.03,-0.98
0.30,-0.01,-1.00
0.39,0.01,-1.04
0.52,0.03,-1.12
0.67,0.03,-1.16
0.79,0.04,-1.18
0.92,0.05,-1.19
1.06,0.03,-1.23
1.09,0.05,-1.25
1.06,0.05,-1.23
1.02,0.05,-1.25
1.01,0.04,-1.20
0.95,0.01,-1.07
0.82,-0.02,-1.02
0.64,-0.05,-1.02
0.44,-0.05,-0.99
0.30,-0.05,-0.98
0.21,-0.05,-1.01
0.10,-0.06,-0.92
-0.15,-0.05,-0.88
-0.48,-0.06,-0.80
-0.86,-0.09,-0.70
-1.23,-0.11,-0.67
-1.49,-0.13,-0.66
-1.63,-0.16,-0.63
-1.66,-0.19,-0.64
-1.67,-0.21,-0.60
-1.72,-0.22,-0.52
-1.77,-0.19,-0.43
-1.73,-0.17,-0.35
-1.57,-0.14,-0.32
-1.35,-0.09,-0.31
-1.16,-0.05,-0.26
-0.96,0.01,-0.29
-0.65,0.08,-0.48
-0.29,0.14,-0.67
0.10,0.19,-0.80
0.55,0.23,-0.95
1.09,0.26,-1.12
1.70,0.24,-1.25
2.20,0.22,-1.38
2.50,0.13,-1.50
2.58,0.11,-1.60
2.61,0.10,-1.54
2.55,0.11,-1.48
2.39,0.10,-1.43
2.16,0.08,-1.34
1.93,0.10,-1.19
1.70,0.09,-1.04
1.38,0.10,-0.97
1.06,0.09,-0.89
0.67,0.10,-0.82
0.28,0.10,-0.89
-0.11,0.10,-1.01
-0.52,0.07,-1.02
-0.96,0.07,-0.96
-1.41,0.03,-0.86
-1.86,0.01,-0.80
-2.21,-0.02,-0.80
-2.31,-0.06,-0.80
-2.16,-0.11,-0.73
-1.83,-0.17,-0.63
-1.53,-0.20,-0.54
-1.35,-0.19,-0.47
-1.15,-0.18,-0.44
-0.96,-0.16,-0.42
-0.80,-0.11,-0.43
-0.52,-0.05,-0.54
-0.06,-0.01,-0.73
0.47,0.02,-0.87
0.91,0.02,-0.98
1.25,0.02,-1.10
1.55,0.01,-1.19
1.80,-0.01,-1.26
1.96,0.00,-1.30
2.00,-0.09,-1.31
1.92,-0.09,-1.29
1.87,-0.09,-1.19
1.82,-0.11,-1.07
1.58,-0.08,-1.06
1.29,-0.03,-1.04
1.15,-0.02,-1.01
1.04,-0.02,-0.93
0.82,0.01,-0.89
0.62,-0.00,-0.91
0.43,-0.02,-0.96
0.19,-0.04,-0.96
-0.08,-0.06,-0.97
-0.31,-0.09,-0.97
-0.51,-0.14,-0.93
-0.77,-0.18,-0.86
-1.00,-0.19,-0.82
-1.13,-0.20,-0.82
-1.24,-0.20,-0.83
-1.40,-0.20,-0.82
-1.61,-0.20,-0.75
-1.84,-0.17,-0.60
-2.04,-0.16,-0.49
-2.01,-0.10,-0.43
-1.68,-0.08,-0.43
-1.28,-0.06,-0.47
-0.99,-0.01,-0.48
-0.75,0.03,-0.46
-0.49,0.08,-0.50
-0.14,0.12,-0.62
0.26,0.14,-0.81
0.73,0.09,-1.03
1.10,0.10,-1.11
1.33,0.05,-1.18
1.41,-0.03,-1.16
1.35,-0.04,-1.15
1.36,-0.05,-1.19
1.43,-0.08,-1.24
1.46,-0.10,-1.23
1.34,-0.10,-1.23
1.14,-0.09,-1.19
0.96,-0.06,-1.17
0.84,-0.07,-1.12
0.72,-0.06,-1.08
0.58,-0.06,-1.05
0.45,-0.05,-1.05
0.32,-0.05,-1.05
0.20,-0.06,-1.05
0.10,-0.07,-1.04
0.00,-0.07,-1.02
-0.05,-0.09,-0.99
-0.07,-0.12,-0.96
-0.06,-0.14,-0.96
-0.03,-0.17,-0.91
-0.00,-0.19,-0.88
0.02,-0.20,-0.88
0.05,-0.21,-0.87
0.09,-0.22,-0.87
0.10,-0.21,-0.89
0.12,-0.20,-0.91
0.13,-0.20,-0.91
0.14,-0.19,-0.90
0.18,-0.20,-0.91
0.21,-0.19,-0.91
0.18,-0.18,-0.90
0.17,-0.18,-0.88
0.19,-0.18,-0.89
0.23,-0.17,-0.93
0.24,-0.16,-0.94
0.24,-0.15,-0.95
0.24,-0.14,-0.96
0.24,-0.14,-0.96
0.24,-0.13,-0.97
0.21,-0.13,-0.95
0.20,-0.13,-0.93
0.24,-0.15,-0.91
0.25,-0.15,-0.91
0.20,-0.15,-0.95
0.20,-0.14,-0.97
0.24,-0.15,-0.95
0.22,-0.14,-0.97
0.19,-0.14,-0.99
0.22,-0.14,-0.99
0.24,-0.15,-0.99
0.23,-0.15,-0.99
0.20,-0.16,-0.97
0.19,-0.16,-0.94
0.19,-0.17,-0.94
0.18,-0.17,-0.95
0.18,-0.17,-0.94
0.16,-0.16,-0.94
0.18,-0.16,-0.96
0.20,-0.15,-0.98
0.22,-0.15,-0.98
0.21,-0.15,-0.96
