timestamp,AX,AY,AZ
8288,0.11,-0.11,-0.96
8306,0.04,-0.10,-0.97
8325,-0.00,-0.09,-1.02
8343,0.00,-0.08,-0.98
8362,-0.07,-0.06,-0.90
8380,-0.12,-0.06,-0.92
8399,-0.08,-0.06,-1.01
8417,0.01,-0.08,-0.97
8436,0.01,-0.08,-0.95
8454,0.00,-0.09,-1.03
8473,0.02,-0.09,-1.02
8491,0.05,-0.10,-0.99
8510,0.07,-0.10,-0.99
8528,0.11,-0.10,-1.00
8547,0.11,-0.10,-0.97
8565,0.10,-0.09,-0.97
8584,0.11,-0.08,-1.01
8602,0.18,-0.09,-1.01
8621,0.24,-0.08,-1.02
8639,0.23,-0.06,-1.01
8658,0.21,-0.04,-1.02
8676,0.28,-0.04,-1.04
8695,0.39,-0.05,-1.10
8713,0.46,-0.05,-1.11
8732,0.42,-0.02,-1.09
8750,0.37,0.02,-1.07
8769,0.43,0.01,-1.10
8787,0.54,0.01,-1.19
8806,0.65,0.01,-1.19
8824,0.66,0.02,-1.16
8843,0.66,0.03,-1.18
8861,0.65,0.06,-1.18
8880,0.60,0.08,-1.11
8898,0.57,0.11,-1.06
8917,0.48,0.14,-1.02
8935,0.41,0.15,-1.04
8954,0.45,0.15,-1.11
8972,0.45,0.15,-1.09
8991,0.43,0.17,-1.08
9009,0.41,0.19,-1.14
9028,0.34,0.22,-1.09
9046,0.33,0.21,-1.08
9065,0.18,0.21,-1.10
9083,0.20,0.18,-1.11
9102,0.20,0.19,-1.07
9120,0.07,0.19,-1.03
9139,0.01,0.17,-1.02
9157,0.10,0.15,-1.06
9176,0.17,0.15,-1.08
9194,0.12,0.19,-1.08
9213,0.10,0.21,-1.09
9231,0.06,0.23,-1.08
9250,0.05,0.26,-1.03
9268,-0.00,0.28,-0.96
9287,-0.21,0.32,-0.89
9305,-0.35,0.30,-0.78
9324,-0.25,0.24,-0.75
9342,-0.11,0.20,-0.76
9361,-0.08,0.18,-0.76
9379,-0.10,0.16,-0.73
9398,-0.12,0.19,-0.70
9416,-0.23,0.23,-0.71
9435,-0.45,0.27,-0.72
9453,-0.67,0.32,-0.61
9472,-0.78,0.32,-0.61
9490,-0.79,0.28,-0.67
9509,-0.74,0.36,-0.53
9527,-0.85,0.22,-0.71
9546,-0.79,0.20,-0.55
9564,-0.87,0.19,-0.58
9583,-0.96,0.18,-0.61
9601,-0.99,0.21,-0.59
9620,-1.11,0.17,-0.61
9638,-1.12,0.12,-0.58
9657,-1.13,0.12,-0.61
9675,-1.19,0.10,-0.61
9694,-1.19,0.06,-0.61
9712,-1.08,0.07,-0.68
9731,-1.01,-0.03,-0.74
9749,-0.97,-0.00,-0.78
9768,-0.78,-0.02,-0.90
9786,-0.76,-0.03,-0.83
9805,-0.85,-0.01,-0.81
9823,-0.89,0.00,-0.73
9842,-0.91,-0.01,-0.68
9860,-0.93,-0.01,-0.75
9879,-0.88,-0.03,-0.80
9897,-0.84,-0.03,-0.83
9916,-0.83,-0.05,-0.83
9934,-0.77,-0.06,-0.90
9953,-0.68,-0.08,-0.89
9971,-0.63,-0.09,-0.87
9990,-0.60,-0.10,-0.89
10008,-0.54,-0.11,-0.91
10027,-0.48,-0.12,-0.86
10045,-0.51,-0.11,-0.84
10064,-0.56,-0.11,-0.82
10082,-0.59,-0.10,-0.80
10101,-0.60,-0.11,-0.76
10119,-0.59,-0.11,-0.82
10138,-0.50,-0.13,-0.85
10156,-0.48,-0.14,-0.84
10175,-0.49,-0.14,-0.88
10193,-0.47,-0.15,-0.87
10212,-0.47,-0.15,-0.84
10230,-0.48,-0.14,-0.81
10249,-0.50,-0.15,-0.83
10267,-0.57,-0.13,-0.82
10286,-0.61,-0.12,-0.76
10304,-0.57,-0.12,-0.79
10323,-0.50,-0.13,-0.84
10341,-0.47,-0.13,-0.83
10360,-0.48,-0.14,-0.84
10378,-0.46,-0.16,-0.89
10397,-0.43,-0.17,-0.87
10415,-0.45,-0.16,-0.85
10434,-0.44,-0.16,-0.86
10452,-0.47,-0.15,-0.86
10471,-0.50,-0.14,-0.83
10489,-0.48,-0.14,-0.81
10508,-0.49,-0.14,-0.82
10526,-0.47,-0.14,-0.83
10545,-0.46,-0.15,-0.83
10563,-0.45,-0.16,-0.85
10582,-0.45,-0.16,-0.86
10600,-0.42,-0.17,-0.86
10619,-0.43,-0.17,-0.86
10637,-0.45,-0.16,-0.85
10656,-0.46,-0.15,-0.84
10674,-0.46,-0.15,-0.82
10693,-0.47,-0.15,-0.85
10711,-0.43,-0.16,-0.87
10730,-0.40,-0.17,-0.87
10748,-0.41,-0.17,-0.85
10767,-0.40,-0.18,-0.82
10785,-0.45,-0.17,-0.82
10804,-0.46,-0.16,-0.81
10822,-0.48,-0.14,-0.79
10841,-0.55,-0.13,-0.81
10859,-0.53,-0.13,-0.82
10878,-0.47,-0.15,-0.83
10896,-0.46,-0.15,-0.89
10915,-0.48,-0.15,-0.88
10933,-0.47,-0.15,-0.86
10952,-0.52,-0.14,-0.88
10970,-0.51,-0.14,-0.88
10989,-0.51,-0.14,-0.84
11007,-0.51,-0.13,-0.84
11026,-0.53,-0.13,-0.85
11044,-0.57,-0.12,-0.83
11063,-0.57,-0.13,-0.85
11081,-0.54,-0.13,-0.87
11100,-0.50,-0.13,-0.85
11118,-0.52,-0.13,-0.82
11137,-0.56,-0.12,-0.86
11155,-0.56,-0.12,-0.83
11174,-0.60,-0.10,-0.80
11192,-0.69,-0.09,-0.82
11211,-0.76,-0.07,-0.86
11229,-0.85,-0.05,-0.77
11248,-0.90,-0.04,-0.75
11266,-0.94,-0.04,-0.79
11285,-0.98,-0.03,-0.78
11303,-1.02,0.01,-0.75
11322,-1.13,0.04,-0.74
11340,-1.19,0.07,-0.77
11359,-1.19,0.09,-0.76
11377,-1.21,0.11,-0.71
11396,-1.20,0.12,-0.75
11414,-1.17,0.13,-0.71
11433,-1.14,0.14,-0.69
11451,-1.13,0.15,-0.70
11470,-1.08,0.14,-0.72
11488,-1.03,0.13,-0.73
11507,-0.98,0.12,-0.68
11525,-0.98,0.16,-0.63
