AX,AY,AZ
-1.13,0.18,-0.45
-1.07,-0.08,-0.38
-1.23,0.00,-0.33
-1.34,0.01,-0.30
-1.39,-0.03,-0.37
-1.42,-0.07,-0.43
-1.43,-0.08,-0.48
-1.40,0.02,-0.60
-1.35,-0.09,-0.55
-1.32,-0.09,-0.64
-1.24,-0.11,-0.63
-1.18,-0.10,-0.63
-1.12,-0.14,-0.64
-1.07,-0.13,-0.62
-0.96,-0.15,-0.61
-0.85,-0.15,-0.62
-0.79,-0.16,-0.71
-0.76,-0.16,-0.77
-0.74,-0.17,-0.76
-0.72,-0.17,-0.70
-0.70,-0.17,-0.64
-0.68,-0.18,-0.62
-0.70,-0.18,-0.62
-0.72,-0.18,-0.65
-0.72,-0.18,-0.66
-0.70,-0.18,-0.66
-0.68,-0.17,-0.68
-0.63,-0.17,-0.73
-0.57,-0.16,-0.81
-0.54,-0.15,-0.87
-0.50,-0.15,-0.87
-0.49,-0.16,-0.85
-0.51,-0.16,-0.83
-0.57,-0.17,-0.77
-0.63,-0.17,-0.73
-0.65,-0.16,-0.73
-0.61,-0.16,-0.78
-0.53,-0.16,-0.83
-0.49,-0.16,-0.84
-0.52,-0.15,-0.85
-0.55,-0.14,-0.85
-0.55,-0.15,-0.82
-0.57,-0.16,-0.79
-0.59,-0.17,-0.77
-0.58,-0.16,-0.76
-0.52,-0.16,-0.78
-0.48,-0.16,-0.83
-0.46,-0.16,-0.86
-0.46,-0.16,-0.86
-0.49,-0.16,-0.85
-0.51,-0.15,-0.84
-0.52,-0.16,-0.83
-0.54,-0.16,-0.80
-0.55,-0.15,-0.77
-0.54,-0.17,-0.72
-0.52,-0.16,-0.72
-0.52,-0.15,-0.82
-0.52,-0.15,-0.91
-0.52,-0.15,-0.89
-0.52,-0.15,-0.83
-0.53,-0.14,-0.81
-0.55,-0.15,-0.83
-0.58,-0.16,-0.83
-0.63,-0.15,-0.82
-0.63,-0.14,-0.81
-0.58,-0.14,-0.81
-0.53,-0.15,-0.83
-0.54,-0.15,-0.84
-0.57,-0.14,-0.82
-0.59,-0.14,-0.80
-0.59,-0.15,-0.78
-0.61,-0.16,-0.75
-0.62,-0.16,-0.74
-0.61,-0.16,-0.75
-0.58,-0.17,-0.76
-0.54,-0.17,-0.74
-0.52,-0.16,-0.75
-0.48,-0.16,-0.77
-0.46,-0.16,-0.82
-0.45,-0.16,-0.85
-0.43,-0.17,-0.83
-0.43,-0.16,-0.80
-0.44,-0.15,-0.80
-0.45,-0.15,-0.85
-0.44,-0.15,-0.89
-0.43,-0.15,-0.90
-0.40,-0.15,-0.84
-0.41,-0.16,-0.81
-0.47,-0.14,-0.85
-0.47,-0.13,-0.89
-0.45,-0.14,-0.88
-0.44,-0.14,-0.86
-0.47,-0.14,-0.85
-0.53,-0.13,-0.84
-0.58,-0.12,-0.84
-0.60,-0.12,-0.84
-0.62,-0.10,-0.84
